GeneName	GeneID	gene_biotype	maxLength
ABCB9	ENSG00000150967	protein_coding	6051
ABCC1	ENSG00000103222	protein_coding	6594
ABCC10	ENSG00000124574	protein_coding	5088
ABCC11	ENSG00000121270	protein_coding	4862
ABCC12	ENSG00000140798	protein_coding	5168
ABCC13	ENSG00000243064	transcribed_unprocessed_pseudogene	4080
ABCC2	ENSG00000023839	protein_coding	5806
ABCC3	ENSG00000108846	protein_coding	5693
ABCC4	ENSG00000125257	protein_coding	6175
ABCC5	ENSG00000114770	protein_coding	5850
ABCC5-AS1	ENSG00000223882	lncRNA	469
ABCC6	ENSG00000091262	protein_coding	5747
ABCC6P1	ENSG00000256340	transcribed_unprocessed_pseudogene	2943
ABCC6P2	ENSG00000255277	transcribed_unprocessed_pseudogene	706
ABCC8	ENSG00000006071	protein_coding	6565
ABCC9	ENSG00000069431	protein_coding	8293
ABCD1	ENSG00000101986	protein_coding	3665
ABCD1P2	ENSG00000215151	unprocessed_pseudogene	1601
ABCD1P3	ENSG00000261233	unprocessed_pseudogene	605
ABCD1P4	ENSG00000225293	unprocessed_pseudogene	604
ABCD1P5	ENSG00000214330	unprocessed_pseudogene	754
ABCD2	ENSG00000173208	protein_coding	6288
ABCD3	ENSG00000117528	protein_coding	4368
ABCD4	ENSG00000119688	protein_coding	3035
ABCE1	ENSG00000164163	protein_coding	3887
ABCF1	ENSG00000204574	protein_coding	3404
ABCF2	ENSG00000285292	protein_coding	4524
ABCF2	ENSG00000033050	protein_coding	4524
ABCF2P1	ENSG00000242159	processed_pseudogene	1867
ABCF2P2	ENSG00000228769	unprocessed_pseudogene	296
ABCF3	ENSG00000161204	protein_coding	2844
ABCG1	ENSG00000160179	protein_coding	3475
ABCG2	ENSG00000118777	protein_coding	4844
ABCG4	ENSG00000172350	protein_coding	3812
ABCG5	ENSG00000138075	protein_coding	3033
ABCG8	ENSG00000143921	protein_coding	7180
ABHD1	ENSG00000143994	protein_coding	3107
ABHD10	ENSG00000144827	protein_coding	2604
ABHD11	ENSG00000106077	protein_coding	1562
ABHD11-AS1	ENSG00000225969	transcribed_unitary_pseudogene	662
ABHD12	ENSG00000100997	protein_coding	2035
ABHD12B	ENSG00000131969	protein_coding	2863
ABHD13	ENSG00000139826	protein_coding	5312
ABHD14A	ENSG00000248487	protein_coding	1114
ABHD14A-ACY1	ENSG00000114786	protein_coding	3622
ABHD14B	ENSG00000114779	protein_coding	2236
ABHD15	ENSG00000168792	protein_coding	3492
ABHD15-AS1	ENSG00000264031	lncRNA	187
ABHD16A	ENSG00000204427	protein_coding	2258
ABHD16B	ENSG00000183260	protein_coding	1491
ABHD17A	ENSG00000129968	protein_coding	5419
ABHD17AP1	ENSG00000198658	unprocessed_pseudogene	933
ABHD17AP3	ENSG00000250536	unprocessed_pseudogene	1137
ABHD17AP4	ENSG00000229107	processed_pseudogene	909
ABHD17AP5	ENSG00000263366	processed_pseudogene	923
ABHD17AP6	ENSG00000226981	unprocessed_pseudogene	1044
ABHD17AP7	ENSG00000260864	unprocessed_pseudogene	595
ABHD17AP8	ENSG00000260540	unprocessed_pseudogene	574
ABHD17AP9	ENSG00000261536	unprocessed_pseudogene	548
ABHD17B	ENSG00000107362	protein_coding	2614
ABHD17C	ENSG00000136379	protein_coding	2435
ABHD18	ENSG00000164074	protein_coding	5826
ABHD2	ENSG00000140526	protein_coding	8423
ABHD3	ENSG00000158201	protein_coding	2080
ABHD4	ENSG00000100439	protein_coding	3366
ABHD5	ENSG00000011198	protein_coding	5292
ABHD6	ENSG00000163686	protein_coding	2393
ABHD8	ENSG00000127220	protein_coding	2042
ABI1	ENSG00000136754	protein_coding	3580
ABI1P1	ENSG00000271484	unprocessed_pseudogene	1120
ABI2	ENSG00000138443	protein_coding	22035
ABI3	ENSG00000108798	protein_coding	1718
ABI3BP	ENSG00000154175	protein_coding	6780
ABITRAM	ENSG00000119328	protein_coding	1901
ABITRAMP1	ENSG00000251106	processed_pseudogene	541
ABL1	ENSG00000097007	protein_coding	5578
ABL2	ENSG00000143322	protein_coding	12209
ABLIM1	ENSG00000099204	protein_coding	7690
ABLIM2	ENSG00000163995	protein_coding	3725
ABLIM3	ENSG00000173210	protein_coding	4569
ABO	ENSG00000175164	protein_coding	6357
ABR	ENSG00000159842	protein_coding	5591
ABRA	ENSG00000174429	protein_coding	2754
ABRACL	ENSG00000146386	protein_coding	782
ABRAXAS1	ENSG00000163322	protein_coding	4211
ABRAXAS2	ENSG00000165660	protein_coding	2955
ABT1	ENSG00000146109	protein_coding	2943
ABT1P1	ENSG00000250496	processed_pseudogene	821
ABTB1	ENSG00000114626	protein_coding	5061
ABTB2	ENSG00000166016	protein_coding	4905
AC000029.1	ENSG00000275635	snRNA	60
AC000029.2	ENSG00000283438	misc_RNA	276
AC000032.1	ENSG00000260246	lncRNA	491
AC000035.1	ENSG00000282816	lncRNA	343
AC000036.1	ENSG00000225929	lncRNA	2030
AC000041.1	ENSG00000242156	unprocessed_pseudogene	175
AC000050.1	ENSG00000212569	misc_RNA	98
AC000050.3	ENSG00000286508	lncRNA	239
AC000058.1	ENSG00000223665	lncRNA	536
AC000061.1	ENSG00000083622	lncRNA	376
AC000065.1	ENSG00000286742	lncRNA	2957
AC000065.2	ENSG00000287932	lncRNA	1624
AC000067.1	ENSG00000225007	lncRNA	287
AC000068.1	ENSG00000185065	lncRNA	2095
AC000068.2	ENSG00000273212	lncRNA	460
AC000068.3	ENSG00000273300	lncRNA	427
AC000072.1	ENSG00000286367	lncRNA	964
AC000077.1	ENSG00000230485	processed_pseudogene	953
AC000078.1	ENSG00000232926	processed_pseudogene	682
AC000081.1	ENSG00000230194	processed_pseudogene	297
AC000081.2	ENSG00000251940	snoRNA	94
AC000082.1	ENSG00000287652	lncRNA	525
AC000085.1	ENSG00000287146	lncRNA	866
AC000089.1	ENSG00000235776	processed_pseudogene	801
AC000093.1	ENSG00000284874	protein_coding	4113
AC000095.1	ENSG00000270393	processed_pseudogene	874
AC000095.2	ENSG00000283366	transcribed_unprocessed_pseudogene	154
AC000095.3	ENSG00000286025	polymorphic_pseudogene	1719
AC000111.1	ENSG00000234001	processed_pseudogene	210
AC000111.2	ENSG00000237974	processed_pseudogene	193
AC000113.1	ENSG00000287685	lncRNA	601
AC000114.1	ENSG00000200436	misc_RNA	112
AC000120.1	ENSG00000200769	misc_RNA	92
AC000120.2	ENSG00000243107	lncRNA	1588
AC000120.3	ENSG00000285772	protein_coding	3511
AC000120.4	ENSG00000285953	protein_coding	2640
AC000123.1	ENSG00000224138	lncRNA	516
AC000123.2	ENSG00000279265	TEC	461
AC000123.3	ENSG00000280347	TEC	4971
AC000124.1	ENSG00000226770	lncRNA	957
AC000362.1	ENSG00000230820	processed_pseudogene	425
AC000367.1	ENSG00000224981	processed_pseudogene	1766
AC000372.1	ENSG00000241921	lncRNA	646
AC000374.1	ENSG00000227249	processed_pseudogene	1745
AC000403.1	ENSG00000278727	lncRNA	3585
AC001226.1	ENSG00000274898	lncRNA	539
AC001226.2	ENSG00000283208	protein_coding	2645
AC002044.1	ENSG00000272330	lncRNA	158
AC002044.2	ENSG00000279591	TEC	970
AC002044.3	ENSG00000280092	TEC	541
AC002056.1	ENSG00000213683	processed_pseudogene	760
AC002056.2	ENSG00000254499	lncRNA	284
AC002057.1	ENSG00000287568	lncRNA	1847
AC002057.2	ENSG00000287702	lncRNA	1334
AC002059.1	ENSG00000273216	lncRNA	477
AC002059.2	ENSG00000280968	miRNA	110
AC002059.3	ENSG00000285697	transcribed_unprocessed_pseudogene	1648
AC002064.1	ENSG00000207488	misc_RNA	98
AC002064.2	ENSG00000225498	lncRNA	733
AC002064.3	ENSG00000234459	lncRNA	289
AC002064.4	ENSG00000280440	TEC	346
AC002066.1	ENSG00000237813	lncRNA	699
AC002069.1	ENSG00000207094	snoRNA	140
AC002069.2	ENSG00000233420	lncRNA	3388
AC002069.3	ENSG00000235639	processed_pseudogene	1159
AC002069.4	ENSG00000270812	processed_pseudogene	883
AC002070.1	ENSG00000248636	lncRNA	695
AC002072.1	ENSG00000286072	lncRNA	1108
AC002073.1	ENSG00000202019	misc_RNA	102
AC002074.1	ENSG00000285090	lncRNA	1026
AC002074.2	ENSG00000285964	lncRNA	680
AC002075.1	ENSG00000225898	processed_pseudogene	676
AC002075.2	ENSG00000237729	processed_pseudogene	252
AC002076.1	ENSG00000234695	lncRNA	527
AC002076.2	ENSG00000278388	unprocessed_pseudogene	122
AC002090.1	ENSG00000279743	TEC	2138
AC002091.1	ENSG00000265975	lncRNA	557
AC002091.2	ENSG00000266389	lncRNA	402
AC002094.1	ENSG00000258924	lncRNA	1050
AC002094.2	ENSG00000265618	lncRNA	1121
AC002094.3	ENSG00000273171	protein_coding	851
AC002094.4	ENSG00000277450	lncRNA	307
AC002094.5	ENSG00000279532	TEC	629
AC002101.1	ENSG00000261018	lncRNA	1990
AC002115.1	ENSG00000267626	lncRNA	568
AC002116.1	ENSG00000248101	lncRNA	1130
AC002116.2	ENSG00000267698	lncRNA	643
AC002127.1	ENSG00000227979	processed_pseudogene	225
AC002128.1	ENSG00000268947	lncRNA	1014
AC002128.2	ENSG00000271366	lncRNA	618
AC002306.1	ENSG00000259242	lncRNA	937
AC002310.1	ENSG00000235560	lncRNA	1445
AC002310.2	ENSG00000239791	lncRNA	1488
AC002310.3	ENSG00000260494	unprocessed_pseudogene	723
AC002310.4	ENSG00000261459	protein_coding	1515
AC002310.5	ENSG00000278922	TEC	1377
AC002316.1	ENSG00000132359	protein_coding	6663
AC002331.1	ENSG00000286712	lncRNA	1855
AC002347.1	ENSG00000261433	lncRNA	541
AC002347.2	ENSG00000263388	lncRNA	171
AC002350.1	ENSG00000202335	snoRNA	70
AC002350.2	ENSG00000278993	TEC	1828
AC002351.1	ENSG00000258240	lncRNA	2158
AC002359.1	ENSG00000202469	misc_RNA	102
AC002365.1	ENSG00000206844	misc_RNA	101
AC002366.1	ENSG00000232392	processed_pseudogene	1190
AC002368.1	ENSG00000237741	lncRNA	388
AC002375.1	ENSG00000257268	lncRNA	581
AC002377.1	ENSG00000286163	lncRNA	1052
AC002378.1	ENSG00000225676	lncRNA	2210
AC002381.1	ENSG00000228341	processed_pseudogene	280
AC002383.1	ENSG00000227863	lncRNA	1728
AC002386.1	ENSG00000230941	lncRNA	398
AC002395.1	ENSG00000272215	snRNA	63
AC002398.1	ENSG00000267049	lncRNA	427
AC002398.2	ENSG00000267328	lncRNA	660
AC002400.1	ENSG00000261528	processed_pseudogene	726
AC002401.1	ENSG00000236472	lncRNA	468
AC002401.2	ENSG00000250282	lncRNA	430
AC002401.3	ENSG00000275025	lncRNA	440
AC002401.4	ENSG00000276851	lncRNA	583
AC002407.1	ENSG00000200572	misc_RNA	113
AC002407.2	ENSG00000283638	lncRNA	3863
AC002416.1	ENSG00000212434	snoRNA	200
AC002428.1	ENSG00000253927	lncRNA	771
AC002428.2	ENSG00000254239	lncRNA	414
AC002429.1	ENSG00000231153	processed_pseudogene	148
AC002429.2	ENSG00000236197	lncRNA	2569
AC002451.1	ENSG00000231170	lncRNA	2118
AC002451.2	ENSG00000279525	TEC	2398
AC002456.1	ENSG00000223969	lncRNA	4248
AC002456.2	ENSG00000251154	unprocessed_pseudogene	380
AC002458.1	ENSG00000286411	lncRNA	2091
AC002460.1	ENSG00000249317	lncRNA	370
AC002460.2	ENSG00000287292	lncRNA	2564
AC002461.1	ENSG00000199764	misc_RNA	103
AC002463.1	ENSG00000223646	lncRNA	1687
AC002464.1	ENSG00000260188	lncRNA	1530
AC002465.1	ENSG00000286390	lncRNA	544
AC002467.1	ENSG00000241764	lncRNA	3516
AC002470.1	ENSG00000272829	lncRNA	395
AC002470.2	ENSG00000285314	lncRNA	3442
AC002472.1	ENSG00000226872	lncRNA	714
AC002472.2	ENSG00000284060	transcribed_unprocessed_pseudogene	954
AC002472.3	ENSG00000284130	transcribed_unprocessed_pseudogene	621
AC002472.4	ENSG00000284665	unprocessed_pseudogene	272
AC002480.1	ENSG00000232759	lncRNA	2423
AC002480.2	ENSG00000232949	lncRNA	1797
AC002486.1	ENSG00000223866	processed_pseudogene	391
AC002486.2	ENSG00000231525	processed_pseudogene	590
AC002487.1	ENSG00000270425	processed_pseudogene	994
AC002504.1	ENSG00000214111	processed_pseudogene	691
AC002511.1	ENSG00000232680	lncRNA	1000
AC002511.2	ENSG00000233214	lncRNA	450
AC002511.3	ENSG00000283479	transcribed_unprocessed_pseudogene	420
AC002519.1	ENSG00000259810	lncRNA	2792
AC002519.2	ENSG00000261457	transcribed_processed_pseudogene	837
AC002524.1	ENSG00000233247	processed_pseudogene	547
AC002525.1	ENSG00000279314	TEC	1622
AC002529.1	ENSG00000287827	lncRNA	912
AC002540.1	ENSG00000279067	TEC	1349
AC002542.1	ENSG00000227532	processed_pseudogene	193
AC002542.2	ENSG00000274344	misc_RNA	72
AC002542.3	ENSG00000275054	misc_RNA	74
AC002542.4	ENSG00000278482	misc_RNA	115
AC002542.5	ENSG00000278526	misc_RNA	137
AC002542.6	ENSG00000287829	lncRNA	1085
AC002543.1	ENSG00000235945	processed_pseudogene	1954
AC002543.2	ENSG00000252115	misc_RNA	88
AC002545.1	ENSG00000267184	processed_pseudogene	181
AC002546.1	ENSG00000267653	lncRNA	584
AC002550.1	ENSG00000261312	lncRNA	1379
AC002550.2	ENSG00000276571	lncRNA	394
AC002551.1	ENSG00000261736	lncRNA	592
AC002553.1	ENSG00000227782	lncRNA	801
AC002553.2	ENSG00000275413	lncRNA	331
AC002558.1	ENSG00000239291	processed_pseudogene	799
AC002558.2	ENSG00000261872	lncRNA	673
AC002558.3	ENSG00000262265	lncRNA	1872
AC002563.1	ENSG00000255692	lncRNA	451
AC002980.1	ENSG00000206792	misc_RNA	103
AC002981.1	ENSG00000206795	misc_RNA	113
AC002984.1	ENSG00000267005	processed_pseudogene	448
AC002985.1	ENSG00000268193	protein_coding	685
AC002996.1	ENSG00000257767	protein_coding	784
AC003001.1	ENSG00000235461	lncRNA	1398
AC003001.2	ENSG00000276391	processed_pseudogene	831
AC003002.1	ENSG00000268133	protein_coding	456
AC003002.2	ENSG00000268533	protein_coding	521
AC003002.3	ENSG00000269533	protein_coding	630
AC003005.1	ENSG00000268107	protein_coding	2258
AC003005.2	ENSG00000268266	lncRNA	539
AC003006.1	ENSG00000269026	protein_coding	612
AC003009.1	ENSG00000262011	lncRNA	686
AC003035.1	ENSG00000212663	lncRNA	544
AC003035.2	ENSG00000233535	lncRNA	696
AC003043.1	ENSG00000221496	snoRNA	239
AC003043.2	ENSG00000267211	lncRNA	337
AC003043.3	ENSG00000285486	lncRNA	4061
AC003044.1	ENSG00000287523	lncRNA	1462
AC003045.1	ENSG00000214684	processed_pseudogene	713
AC003070.1	ENSG00000267344	lncRNA	457
AC003070.2	ENSG00000267446	lncRNA	386
AC003070.7	ENSG00000285757	rRNA_pseudogene	132
AC003071.1	ENSG00000225971	processed_pseudogene	789
AC003071.2	ENSG00000226573	processed_pseudogene	315
AC003072.1	ENSG00000250318	unprocessed_pseudogene	612
AC003072.2	ENSG00000288153	unprocessed_pseudogene	335
AC003077.1	ENSG00000287011	lncRNA	2698
AC003080.1	ENSG00000234358	processed_pseudogene	767
AC003084.1	ENSG00000234826	lncRNA	435
AC003086.1	ENSG00000287672	lncRNA	949
AC003087.1	ENSG00000227930	lncRNA	499
AC003092.1	ENSG00000236453	lncRNA	743
AC003092.2	ENSG00000236938	lncRNA	446
AC003093.1	ENSG00000287093	lncRNA	1324
AC003098.1	ENSG00000267604	lncRNA	494
AC003101.1	ENSG00000228768	lncRNA	459
AC003101.2	ENSG00000278546	lncRNA	442
AC003101.3	ENSG00000278977	TEC	768
AC003102.1	ENSG00000260793	lncRNA	1796
AC003109.1	ENSG00000212590	snoRNA	122
AC003657.1	ENSG00000207151	misc_RNA	102
AC003657.2	ENSG00000278218	misc_RNA	186
AC003659.1	ENSG00000237994	lncRNA	465
AC003666.1	ENSG00000227042	lncRNA	611
AC003669.1	ENSG00000237539	processed_pseudogene	611
AC003681.1	ENSG00000279159	lncRNA	49267
AC003682.1	ENSG00000268392	lncRNA	462
AC003684.1	ENSG00000228543	lncRNA	1715
AC003685.1	ENSG00000229012	lncRNA	466
AC003685.2	ENSG00000231619	processed_pseudogene	395
AC003686.1	ENSG00000257807	processed_pseudogene	1034
AC003687.1	ENSG00000264598	lncRNA	427
AC003688.1	ENSG00000202251	misc_RNA	112
AC003688.2	ENSG00000262302	protein_coding	489
AC003688.3	ENSG00000263342	lncRNA	415
AC003950.1	ENSG00000285785	lncRNA	730
AC003956.1	ENSG00000268564	lncRNA	356
AC003957.1	ENSG00000279825	TEC	2673
AC003958.1	ENSG00000108516	unprocessed_pseudogene	421
AC003958.2	ENSG00000234859	lncRNA	3890
AC003965.1	ENSG00000263280	lncRNA	761
AC003965.2	ENSG00000263325	lncRNA	265
AC003973.1	ENSG00000269504	lncRNA	1953
AC003973.2	ENSG00000279377	TEC	2822
AC003975.1	ENSG00000197462	lncRNA	837
AC003982.1	ENSG00000256695	lncRNA	365
AC003984.1	ENSG00000235139	lncRNA	4102
AC003985.1	ENSG00000233824	lncRNA	412
AC003986.1	ENSG00000229533	lncRNA	1526
AC003986.2	ENSG00000232821	lncRNA	1711
AC003986.3	ENSG00000236536	lncRNA	692
AC003988.1	ENSG00000234223	lncRNA	578
AC003989.1	ENSG00000227948	processed_pseudogene	565
AC003989.2	ENSG00000243621	processed_pseudogene	169
AC003991.1	ENSG00000228113	lncRNA	1048
AC003991.2	ENSG00000254003	lncRNA	573
AC003992.1	ENSG00000282859	lncRNA	557
AC004000.1	ENSG00000237903	lncRNA	433
AC004004.1	ENSG00000270317	processed_pseudogene	250
AC004006.1	ENSG00000228711	processed_pseudogene	377
AC004009.1	ENSG00000224322	lncRNA	1008
AC004009.2	ENSG00000279429	TEC	728
AC004009.3	ENSG00000279655	TEC	645
AC004012.1	ENSG00000233942	lncRNA	534
AC004014.1	ENSG00000229603	lncRNA	538
AC004014.2	ENSG00000279043	TEC	5122
AC004022.1	ENSG00000228751	processed_pseudogene	1066
AC004022.2	ENSG00000237160	processed_pseudogene	193
AC004023.1	ENSG00000261462	lncRNA	1744
AC004024.1	ENSG00000257624	processed_pseudogene	247
AC004034.1	ENSG00000262482	lncRNA	510
AC004039.1	ENSG00000230612	lncRNA	776
AC004047.1	ENSG00000286291	lncRNA	625
AC004052.1	ENSG00000251170	lncRNA	796
AC004053.1	ENSG00000248242	lncRNA	575
AC004054.1	ENSG00000248984	lncRNA	270
AC004057.1	ENSG00000196656	transcribed_processed_pseudogene	348
AC004062.1	ENSG00000251312	processed_pseudogene	645
AC004063.1	ENSG00000250670	lncRNA	547
AC004066.1	ENSG00000216425	processed_pseudogene	802
AC004066.2	ENSG00000250522	lncRNA	572
AC004067.1	ENSG00000273447	lncRNA	700
AC004069.1	ENSG00000251259	lncRNA	549
AC004069.2	ENSG00000251473	processed_pseudogene	1114
AC004069.3	ENSG00000252136	snoRNA	108
AC004074.1	ENSG00000237014	processed_pseudogene	1063
AC004076.1	ENSG00000268163	protein_coding	664
AC004076.2	ENSG00000276449	lncRNA	3317
AC004079.1	ENSG00000274396	misc_RNA	102
AC004079.2	ENSG00000274864	misc_RNA	59
AC004079.3	ENSG00000276528	misc_RNA	125
AC004079.4	ENSG00000276771	misc_RNA	215
AC004079.5	ENSG00000277694	misc_RNA	145
AC004080.1	ENSG00000253308	lncRNA	757
AC004080.10	ENSG00000277469	misc_RNA	337
AC004080.11	ENSG00000277553	misc_RNA	165
AC004080.12	ENSG00000277966	misc_RNA	233
AC004080.13	ENSG00000278020	misc_RNA	179
AC004080.14	ENSG00000278334	misc_RNA	187
AC004080.15	ENSG00000278592	misc_RNA	203
AC004080.16	ENSG00000278708	misc_RNA	376
AC004080.17	ENSG00000286323	lncRNA	729
AC004080.2	ENSG00000253508	lncRNA	556
AC004080.3	ENSG00000257184	protein_coding	765
AC004080.4	ENSG00000270182	lncRNA	633
AC004080.5	ENSG00000272801	lncRNA	368
AC004080.6	ENSG00000273433	lncRNA	919
AC004080.7	ENSG00000273961	misc_RNA	98
AC004080.8	ENSG00000276496	misc_RNA	98
AC004080.9	ENSG00000276609	misc_RNA	57
AC004083.1	ENSG00000254180	lncRNA	3662
AC004112.1	ENSG00000226851	lncRNA	561
AC004125.1	ENSG00000201541	snoRNA	133
AC004129.1	ENSG00000202233	snoRNA	227
AC004129.2	ENSG00000213798	processed_pseudogene	796
AC004129.3	ENSG00000234406	processed_pseudogene	287
AC004129.4	ENSG00000285716	lncRNA	1792
AC004130.1	ENSG00000200753	snoRNA	71
AC004130.2	ENSG00000271133	lncRNA	737
AC004134.1	ENSG00000267592	processed_pseudogene	225
AC004147.1	ENSG00000263485	lncRNA	299
AC004147.2	ENSG00000263571	lncRNA	3810
AC004147.3	ENSG00000264791	lncRNA	375
AC004147.4	ENSG00000265356	lncRNA	1844
AC004147.5	ENSG00000265775	lncRNA	536
AC004148.1	ENSG00000263272	lncRNA	1938
AC004151.1	ENSG00000180448	protein_coding	4273
AC004156.1	ENSG00000267666	lncRNA	3319
AC004158.1	ENSG00000260664	lncRNA	4319
AC004160.1	ENSG00000230333	lncRNA	2078
AC004160.2	ENSG00000230435	lncRNA	563
AC004217.1	ENSG00000257494	lncRNA	749
AC004217.2	ENSG00000257658	processed_pseudogene	878
AC004221.1	ENSG00000267778	lncRNA	844
AC004223.1	ENSG00000243423	processed_pseudogene	271
AC004223.2	ENSG00000267457	lncRNA	544
AC004223.3	ENSG00000267618	protein_coding	1638
AC004223.4	ENSG00000273687	lncRNA	332
AC004224.1	ENSG00000240311	processed_pseudogene	568
AC004224.2	ENSG00000263212	lncRNA	529
AC004231.1	ENSG00000234477	lncRNA	815
AC004231.3	ENSG00000265359	lncRNA	258
AC004232.1	ENSG00000262899	lncRNA	821
AC004232.2	ENSG00000279031	TEC	525
AC004233.1	ENSG00000262362	lncRNA	608
AC004233.2	ENSG00000272079	lncRNA	1269
AC004233.3	ENSG00000274367	lncRNA	417
AC004241.1	ENSG00000257433	lncRNA	3296
AC004241.2	ENSG00000274902	lncRNA	444
AC004241.3	ENSG00000276390	lncRNA	517
AC004241.4	ENSG00000277173	lncRNA	1120
AC004241.5	ENSG00000280054	TEC	2445
AC004253.1	ENSG00000263990	lncRNA	488
AC004253.2	ENSG00000265046	lncRNA	397
AC004257.1	ENSG00000269635	lncRNA	277
AC004263.1	ENSG00000275936	lncRNA	678
AC004263.2	ENSG00000286067	lncRNA	2349
AC004264.1	ENSG00000268812	lncRNA	794
AC004264.2	ENSG00000279699	TEC	1737
AC004381.1	ENSG00000260510	lncRNA	351
AC004381.2	ENSG00000275908	snRNA	95
AC004381.3	ENSG00000283399	unprocessed_pseudogene	1329
AC004381.4	ENSG00000285303	transcribed_unprocessed_pseudogene	1288
AC004383.1	ENSG00000226107	processed_pseudogene	289
AC004386.1	ENSG00000213269	processed_pseudogene	761
AC004386.2	ENSG00000226515	processed_pseudogene	148
AC004386.3	ENSG00000273974	misc_RNA	94
AC004386.4	ENSG00000275254	misc_RNA	147
AC004386.5	ENSG00000275625	misc_RNA	147
AC004386.6	ENSG00000277922	misc_RNA	218
AC004386.7	ENSG00000278421	misc_RNA	71
AC004408.1	ENSG00000266101	lncRNA	573
AC004408.2	ENSG00000280177	TEC	2777
AC004415.1	ENSG00000236414	lncRNA	449
AC004448.1	ENSG00000231477	lncRNA	543
AC004448.2	ENSG00000235979	lncRNA	1072
AC004448.3	ENSG00000265126	lncRNA	567
AC004448.4	ENSG00000283675	snoRNA	64
AC004448.5	ENSG00000287196	lncRNA	501
AC004449.1	ENSG00000261204	lncRNA	433
AC004453.1	ENSG00000146677	processed_pseudogene	408
AC004453.2	ENSG00000279853	TEC	2153
AC004461.1	ENSG00000206739	misc_RNA	112
