GeneName	GeneID	gene_biotype	maxLength
1700001D01Rik	ENSMUSG00000099419	lncRNA	565
1700001F09Rik	ENSMUSG00000095384	protein_coding	884
1700001G01Rik	ENSMUSG00000087170	lncRNA	1562
1700001G11Rik	ENSMUSG00000085984	lncRNA	764
1700001G17Rik	ENSMUSG00000103746	TEC	889
1700001J03Rik	ENSMUSG00000095040	protein_coding	787
1700001J04Rik	ENSMUSG00000086135	lncRNA	743
1700001J11Rik	ENSMUSG00000101963	transcribed_processed_pseudogene	2463
1700001K19Rik	ENSMUSG00000056508	protein_coding	954
1700001K23Rik	ENSMUSG00000118314	lncRNA	741
1700001L05Rik	ENSMUSG00000075511	lncRNA	4969
1700001L19Rik	ENSMUSG00000021534	protein_coding	1826
1700001N15Rik	ENSMUSG00000106210	lncRNA	482
1700001O22Rik	ENSMUSG00000044320	protein_coding	1672
1700001P01Rik	ENSMUSG00000018543	protein_coding	624
1700003C15Rik	ENSMUSG00000099391	lncRNA	1224
1700003D09Rik	ENSMUSG00000085944	lncRNA	1389
1700003E16Rik	ENSMUSG00000030030	protein_coding	2070
1700003E24Rik	ENSMUSG00000095110	lncRNA	577
1700003F12Rik	ENSMUSG00000038523	protein_coding	704
1700003G18Rik	ENSMUSG00000087621	lncRNA	1203
1700003H04Rik	ENSMUSG00000039174	protein_coding	1086
1700003I16Rik	ENSMUSG00000107526	lncRNA	1058
1700003I22Rik	ENSMUSG00000100372	lncRNA	424
1700003L19Rik	ENSMUSG00000101565	lncRNA	746
1700003M07Rik	ENSMUSG00000085389	lncRNA	564
1700003N22Rik	ENSMUSG00000102463	processed_pseudogene	808
1700003O11Rik	ENSMUSG00000118311	lncRNA	582
1700003P14Rik	ENSMUSG00000100727	lncRNA	1078
1700006A11Rik	ENSMUSG00000027973	protein_coding	2161
1700006F04Rik	ENSMUSG00000100274	lncRNA	441
1700006H21Rik	ENSMUSG00000102000	lncRNA	627
1700006J14Rik	ENSMUSG00000034764	lncRNA	2629
1700006P03Rik	ENSMUSG00000102738	TEC	409
1700007E05Rik	ENSMUSG00000101234	transcribed_processed_pseudogene	1513
1700007F19Rik	ENSMUSG00000100666	lncRNA	1642
1700007H22Rik	ENSMUSG00000116556	lncRNA	537
1700007J10Rik	ENSMUSG00000086330	lncRNA	1111
1700007K13Rik	ENSMUSG00000026831	protein_coding	812
1700007L15Rik	ENSMUSG00000097318	lncRNA	737
1700007M16Rik	ENSMUSG00000086613	lncRNA	435
1700007P06Rik	ENSMUSG00000089730	lncRNA	823
1700008A23Rik	ENSMUSG00000103452	TEC	691
1700008B11Rik	ENSMUSG00000104872	lncRNA	634
1700008C04Rik	ENSMUSG00000111986	lncRNA	797
1700008H02Rik	ENSMUSG00000106860	TEC	1684
1700008J07Rik	ENSMUSG00000101225	lncRNA	2431
1700008K24Rik	ENSMUSG00000101012	lncRNA	840
1700008N11Rik	ENSMUSG00000109657	lncRNA	636
1700008O03Rik	ENSMUSG00000008028	protein_coding	2245
1700008P02Rik	ENSMUSG00000069118	protein_coding	783
1700009C05Rik	ENSMUSG00000101404	lncRNA	788
1700009J07Rik	ENSMUSG00000096573	lncRNA	1084
1700009N14Rik	ENSMUSG00000028287	protein_coding	1258
1700010B08Rik	ENSMUSG00000057047	protein_coding	899
1700010B13Rik	ENSMUSG00000099958	lncRNA	1729
1700010D01Rik	ENSMUSG00000071721	lncRNA	507
1700010G06Rik	ENSMUSG00000115752	lncRNA	683
1700010H22Rik	ENSMUSG00000067101	lncRNA	1003
1700010I02Rik	ENSMUSG00000100010	lncRNA	438
1700010I14Rik	ENSMUSG00000023873	protein_coding	1853
1700010J16Rik	ENSMUSG00000100314	lncRNA	890
1700010K23Rik	ENSMUSG00000092599	lncRNA	376
1700010K24Rik	ENSMUSG00000085102	lncRNA	226
1700010L04Rik	ENSMUSG00000030636	lncRNA	1015
1700010N08Rik	ENSMUSG00000101855	transcribed_processed_pseudogene	1323
1700011B04Rik	ENSMUSG00000102099	lncRNA	2483
1700011C11Rik	ENSMUSG00000108800	lncRNA	365
1700011D18Rik	ENSMUSG00000108791	lncRNA	277
1700011L03Rik	ENSMUSG00000109759	lncRNA	608
1700011L22Rik	ENSMUSG00000031682	protein_coding	964
1700011M02Rik	ENSMUSG00000079476	protein_coding	420
1700012A03Rik	ENSMUSG00000029766	protein_coding	963
1700012B07Rik	ENSMUSG00000020617	protein_coding	2035
1700012B09Rik	ENSMUSG00000031927	protein_coding	688
1700012C08Rik	ENSMUSG00000086482	lncRNA	363
1700012C14Rik	ENSMUSG00000085470	lncRNA	498
1700012D14Rik	ENSMUSG00000110424	lncRNA	3433
1700012D16Rik	ENSMUSG00000105023	lncRNA	577
1700012E03Rik	ENSMUSG00000101275	lncRNA	1377
1700012I11Rik	ENSMUSG00000102069	lncRNA	1039
1700012J15Rik	ENSMUSG00000107394	lncRNA	471
1700012J22Rik	ENSMUSG00000103545	TEC	830
1700012P22Rik	ENSMUSG00000028589	protein_coding	974
1700013A02Rik	ENSMUSG00000106899	TEC	645
1700013D24Rik	ENSMUSG00000079346	lncRNA	513
1700013F07Rik	ENSMUSG00000027886	protein_coding	760
1700013G24Rik	ENSMUSG00000041399	protein_coding	1048
1700013H16Rik	ENSMUSG00000054727	protein_coding	1224
1700013M08Rik	ENSMUSG00000106586	lncRNA	798
1700013N06Rik	ENSMUSG00000085801	lncRNA	663
1700014D04Rik	ENSMUSG00000051054	protein_coding	3231
1700014F14Rik	ENSMUSG00000105903	lncRNA	197
1700014L14Rik	ENSMUSG00000110056	lncRNA	481
1700015C15Rik	ENSMUSG00000113696	lncRNA	374
1700015C17Rik	ENSMUSG00000104908	lncRNA	239
1700015F17Rik	ENSMUSG00000079666	protein_coding	1050
1700015G11Rik	ENSMUSG00000094445	protein_coding	397
1700015H07Rik	ENSMUSG00000115761	lncRNA	560
1700015I17Rik	ENSMUSG00000110335	lncRNA	2099
1700015O11Rik	ENSMUSG00000097671	lncRNA	678
1700016A09Rik	ENSMUSG00000102737	TEC	835
1700016B01Rik	ENSMUSG00000104538	lncRNA	270
1700016B15Rik	ENSMUSG00000108979	TEC	733
1700016C15Rik	ENSMUSG00000015962	protein_coding	768
1700016D06Rik	ENSMUSG00000031509	protein_coding	1263
1700016D08Rik	ENSMUSG00000103481	TEC	368
1700016F12Rik	ENSMUSG00000104955	lncRNA	655
1700016G22Rik	ENSMUSG00000100625	lncRNA	594
1700016H03Rik	ENSMUSG00000114673	lncRNA	437
1700016H13Rik	ENSMUSG00000029320	protein_coding	1447
1700016J18Rik	ENSMUSG00000111103	lncRNA	249
1700016K05Rik	ENSMUSG00000114563	lncRNA	386
1700016K19Rik	ENSMUSG00000053783	protein_coding	921
1700016L21Rik	ENSMUSG00000101483	lncRNA	629
1700016P03Rik	ENSMUSG00000085609	lncRNA	863
1700016P04Rik	ENSMUSG00000101894	lncRNA	429
1700017B05Rik	ENSMUSG00000032300	protein_coding	4129
1700017G19Rik	ENSMUSG00000037884	lncRNA	2437
1700017I07Rik	ENSMUSG00000098727	lncRNA	462
1700017J07Rik	ENSMUSG00000086348	lncRNA	473
1700017L05Rik	ENSMUSG00000107232	lncRNA	558
1700017M07Rik	ENSMUSG00000105651	lncRNA	940
1700017N19Rik	ENSMUSG00000056912	protein_coding	1945
1700018A04Rik	ENSMUSG00000038408	lncRNA	2569
1700018A14Rik	ENSMUSG00000103616	TEC	711
1700018A23Rik	ENSMUSG00000107368	lncRNA	398
1700018B08Rik	ENSMUSG00000031809	protein_coding	1084
1700018B24Rik	ENSMUSG00000037910	lncRNA	593
1700018F24Rik	ENSMUSG00000029620	protein_coding	1122
1700018G05Rik	ENSMUSG00000109745	protein_coding	386
1700018L02Rik	ENSMUSG00000100075	lncRNA	2485
1700018M17Rik	ENSMUSG00000046145	pseudogene	456
1700018P08Rik	ENSMUSG00000110709	lncRNA	1239
1700019A02Rik	ENSMUSG00000060715	protein_coding	726
1700019A23Rik	ENSMUSG00000109102	TEC	196
1700019C18Rik	ENSMUSG00000113770	lncRNA	1766
1700019D03Rik	ENSMUSG00000043629	protein_coding	3641
1700019E08Rik	ENSMUSG00000086202	lncRNA	635
1700019F05Rik	ENSMUSG00000107027	lncRNA	533
1700019G24Rik	ENSMUSG00000085416	lncRNA	503
1700019J19Rik	ENSMUSG00000111489	lncRNA	2813
1700019L13Rik	ENSMUSG00000111639	lncRNA	3815
1700019M22Rik	ENSMUSG00000059695	processed_pseudogene	354
1700019N19Rik	ENSMUSG00000026931	protein_coding	983
1700019P21Rik	ENSMUSG00000099808	lncRNA	411
1700020A23Rik	ENSMUSG00000027409	protein_coding	712
1700020D05Rik	ENSMUSG00000100937	protein_coding	1021
1700020D12Rik	ENSMUSG00000113628	lncRNA	426
1700020G03Rik	ENSMUSG00000110052	TEC	889
1700020G17Rik	ENSMUSG00000101801	lncRNA	739
1700020L24Rik	ENSMUSG00000035085	protein_coding	949
1700020M21Rik	ENSMUSG00000100146	lncRNA	644
1700020N01Rik	ENSMUSG00000050844	protein_coding	1062
1700020N15Rik	ENSMUSG00000059690	protein_coding	525
1700020N18Rik	ENSMUSG00000100253	lncRNA	547
1700021A07Rik	ENSMUSG00000037535	lncRNA	485
1700021F02Rik	ENSMUSG00000105426	lncRNA	350
1700021F05Rik	ENSMUSG00000019797	protein_coding	2842
1700021F07Rik	ENSMUSG00000027518	protein_coding	646
1700021F13Rik	ENSMUSG00000107053	lncRNA	469
1700021G15Rik	ENSMUSG00000112387	lncRNA	528
1700021J08Rik	ENSMUSG00000086890	lncRNA	575
1700021L23Rik	ENSMUSG00000086955	lncRNA	726
1700021N21Rik	ENSMUSG00000087343	lncRNA	904
1700021P04Rik	ENSMUSG00000096796	lncRNA	659
1700022A21Rik	ENSMUSG00000038165	transcribed_processed_pseudogene	1448
1700022A22Rik	ENSMUSG00000099751	lncRNA	1458
1700022E09Rik	ENSMUSG00000099983	lncRNA	387
1700022H01Rik	ENSMUSG00000112581	lncRNA	387
1700022H16Rik	ENSMUSG00000099360	lncRNA	476
1700022I11Rik	ENSMUSG00000028451	protein_coding	3726
1700022N22Rik	ENSMUSG00000097523	lncRNA	838
1700023B13Rik	ENSMUSG00000117050	TEC	1046
1700023C21Rik	ENSMUSG00000087393	lncRNA	389
1700023F02Rik	ENSMUSG00000100000	lncRNA	473
1700023G09Rik	ENSMUSG00000103503	lncRNA	1460
1700023H06Rik	ENSMUSG00000089827	lncRNA	1044
1700024B05Rik	ENSMUSG00000052334	protein_coding	1576
1700024B18Rik	ENSMUSG00000099994	lncRNA	423
1700024G13Rik	ENSMUSG00000072473	protein_coding	850
1700024I08Rik	ENSMUSG00000113825	lncRNA	754
1700024J04Rik	ENSMUSG00000069890	pseudogene	1821
1700024P04Rik	ENSMUSG00000045022	protein_coding	481
1700025A08Rik	ENSMUSG00000106947	TEC	609
1700025B11Rik	ENSMUSG00000101113	protein_coding	553
1700025C18Rik	ENSMUSG00000078935	protein_coding	702
1700025D23Rik	ENSMUSG00000086760	lncRNA	846
1700025F24Rik	ENSMUSG00000100558	lncRNA	894
1700025G04Rik	ENSMUSG00000032666	protein_coding	9556
1700025H01Rik	ENSMUSG00000101888	lncRNA	547
1700025J12Rik	ENSMUSG00000108409	lncRNA	630
1700025K04Rik	ENSMUSG00000112482	lncRNA	1174
1700025K24Rik	ENSMUSG00000099747	lncRNA	740
1700025L06Rik	ENSMUSG00000109962	lncRNA	1623
1700025M24Rik	ENSMUSG00000100175	lncRNA	725
1700025N21Rik	ENSMUSG00000090200	lncRNA	686
1700025N23Rik	ENSMUSG00000100121	lncRNA	915
1700025O08Rik	ENSMUSG00000028244	lncRNA	456
1700026D11Rik	ENSMUSG00000086379	lncRNA	2033
1700026F02Rik	ENSMUSG00000101854	lncRNA	1082
1700026J12Rik	ENSMUSG00000073976	lncRNA	1155
1700026J14Rik	ENSMUSG00000097716	lncRNA	794
1700026N04Rik	ENSMUSG00000114681	lncRNA	643
1700027A07Rik	ENSMUSG00000084864	lncRNA	458
1700027A15Rik	ENSMUSG00000101968	lncRNA	617
1700027F06Rik	ENSMUSG00000107737	lncRNA	243
1700027F09Rik	ENSMUSG00000100911	lncRNA	767
1700027H10Rik	ENSMUSG00000100799	lncRNA	584
1700027I24Rik	ENSMUSG00000098304	lncRNA	696
1700027J07Rik	ENSMUSG00000111422	lncRNA	1884
1700028B04Rik	ENSMUSG00000099417	transcribed_processed_pseudogene	971
1700028D13Rik	ENSMUSG00000101683	lncRNA	675
1700028E10Rik	ENSMUSG00000097321	lncRNA	2302
1700028I16Rik	ENSMUSG00000056821	lncRNA	1056
1700028J19Rik	ENSMUSG00000038782	protein_coding	1424
1700028K03Rik	ENSMUSG00000089798	protein_coding	5249
1700028M03Rik	ENSMUSG00000101334	lncRNA	476
1700028N14Rik	ENSMUSG00000078635	lncRNA	747
1700028P14Rik	ENSMUSG00000033053	protein_coding	875
1700028P15Rik	ENSMUSG00000086823	lncRNA	3254
1700029B22Rik	ENSMUSG00000100759	lncRNA	694
1700029B24Rik	ENSMUSG00000102834	TEC	497
1700029E06Rik	ENSMUSG00000100557	lncRNA	757
1700029F12Rik	ENSMUSG00000052075	protein_coding	1128
1700029H14Rik	ENSMUSG00000031452	protein_coding	1408
1700029I15Rik	ENSMUSG00000044916	protein_coding	1066
1700029J03Rik	ENSMUSG00000099968	lncRNA	884
1700029J07Rik	ENSMUSG00000071103	protein_coding	2740
1700029M03Rik	ENSMUSG00000101189	lncRNA	444
1700029M20Rik	ENSMUSG00000086788	lncRNA	2963
1700029N11Rik	ENSMUSG00000098144	lncRNA	1092
1700029P11Rik	ENSMUSG00000061633	protein_coding	1024
1700030A11Rik	ENSMUSG00000085333	lncRNA	888
1700030C10Rik	ENSMUSG00000099759	lncRNA	1735
1700030C10Rik	ENSMUSG00000091071	transcribed_unprocessed_pseudogene	1735
1700030C12Rik	ENSMUSG00000086459	lncRNA	858
1700030C14Rik	ENSMUSG00000087148	lncRNA	756
1700030E10Rik	ENSMUSG00000112619	lncRNA	721
1700030F04Rik	ENSMUSG00000099869	lncRNA	617
1700030I03Rik	ENSMUSG00000103387	TEC	942
1700030J22Rik	ENSMUSG00000031847	protein_coding	2976
1700030K09Rik	ENSMUSG00000052794	protein_coding	2885
1700030L20Rik	ENSMUSG00000099508	lncRNA	985
1700030L22Rik	ENSMUSG00000113179	lncRNA	704
1700030M09Rik	ENSMUSG00000097424	lncRNA	964
1700030N03Rik	ENSMUSG00000100969	lncRNA	3146
1700030N18Rik	ENSMUSG00000106800	TEC	966
1700030O20Rik	ENSMUSG00000100198	lncRNA	594
1700031A10Rik	ENSMUSG00000092239	lncRNA	656
1700031F05Rik	ENSMUSG00000032894	protein_coding	1361
1700031F10Rik	ENSMUSG00000047046	lncRNA	609
1700031L13Rik	ENSMUSG00000099863	protein_coding	812
1700031M16Rik	ENSMUSG00000099353	transcribed_unitary_pseudogene	969
1700031P21Rik	ENSMUSG00000100315	lncRNA	466
1700034B16Rik	ENSMUSG00000097302	lncRNA	722
1700034E13Rik	ENSMUSG00000024532	protein_coding	490
1700034G24Rik	ENSMUSG00000097962	lncRNA	1081
1700034H15Rik	ENSMUSG00000055833	lncRNA	4354
1700034I23Rik	ENSMUSG00000074619	protein_coding	2346
1700034J04Rik	ENSMUSG00000103287	TEC	750
1700034J05Rik	ENSMUSG00000040163	protein_coding	3011
1700034K08Rik	ENSMUSG00000100294	lncRNA	619
1700034P13Rik	ENSMUSG00000097893	lncRNA	1996
1700036A12Rik	ENSMUSG00000095956	lncRNA	1828
1700036G14Rik	ENSMUSG00000099995	lncRNA	542
1700036O09Rik	ENSMUSG00000086185	lncRNA	349
1700037C06Rik	ENSMUSG00000085542	lncRNA	874
1700037C18Rik	ENSMUSG00000005983	protein_coding	2592
1700037F03Rik	ENSMUSG00000114125	lncRNA	365
1700037H04Rik	ENSMUSG00000027327	protein_coding	1647
1700039E22Rik	ENSMUSG00000092369	lncRNA	770
1700039I01Rik	ENSMUSG00000102536	TEC	479
1700039M10Rik	ENSMUSG00000097933	lncRNA	532
1700039M15Rik	ENSMUSG00000104086	lncRNA	1120
1700040D17Rik	ENSMUSG00000097515	lncRNA	998
1700040E09Rik	ENSMUSG00000113997	lncRNA	606
1700040F15Rik	ENSMUSG00000100667	protein_coding	931
1700040F17Rik	ENSMUSG00000101568	lncRNA	817
1700040K01Rik	ENSMUSG00000103840	TEC	438
1700040L08Rik	ENSMUSG00000107406	lncRNA	541
1700041B01Rik	ENSMUSG00000116260	lncRNA	503
1700041C23Rik	ENSMUSG00000100282	lncRNA	395
1700041G16Rik	ENSMUSG00000054822	lncRNA	1824
1700041I07Rik	ENSMUSG00000104845	lncRNA	435
1700041M05Rik	ENSMUSG00000087010	lncRNA	306
1700041M19Rik	ENSMUSG00000100857	lncRNA	1356
1700042D02Rik	ENSMUSG00000105991	lncRNA	389
1700042G07Rik	ENSMUSG00000078593	protein_coding	385
1700042G15Rik	ENSMUSG00000087044	lncRNA	583
1700042O05Rik	ENSMUSG00000112878	lncRNA	584
1700042O10Rik	ENSMUSG00000086391	lncRNA	1075
1700044C05Rik	ENSMUSG00000099911	lncRNA	898
1700044K03Rik	ENSMUSG00000100297	lncRNA	377
1700045H11Rik	ENSMUSG00000078492	lncRNA	593
1700045I11Rik	ENSMUSG00000104526	TEC	493
1700046C09Rik	ENSMUSG00000085561	lncRNA	543
1700047A11Rik	ENSMUSG00000085437	lncRNA	623
1700047E10Rik	ENSMUSG00000115294	lncRNA	568
1700047F07Rik	ENSMUSG00000085549	lncRNA	543
1700047G03Rik	ENSMUSG00000099349	lncRNA	1048
1700047G07Rik	ENSMUSG00000110717	lncRNA	842
1700047K16Rik	ENSMUSG00000087347	lncRNA	886
1700047L14Rik	ENSMUSG00000101762	lncRNA	511
1700047M11Rik	ENSMUSG00000100147	lncRNA	2607
1700047N06Rik	ENSMUSG00000102356	TEC	920
1700047O18Rik	ENSMUSG00000109594	TEC	743
1700048F04Rik	ENSMUSG00000105274	lncRNA	1064
1700048M11Rik	ENSMUSG00000085637	lncRNA	484
1700048O14Rik	ENSMUSG00000118016	lncRNA	521
1700048O20Rik	ENSMUSG00000043773	lncRNA	1899
1700048P04Rik	ENSMUSG00000112333	lncRNA	369
1700049E15Rik	ENSMUSG00000085077	lncRNA	921
1700049E17Rik1	ENSMUSG00000079271	protein_coding	1761
1700049E17Rik2	ENSMUSG00000090440	protein_coding	1757
1700049E22Rik	ENSMUSG00000101553	lncRNA	507
1700049L16Rik	ENSMUSG00000043859	processed_pseudogene	543
1700051A21Rik	ENSMUSG00000086951	lncRNA	1516
1700051K13Rik	ENSMUSG00000108263	TEC	696
1700051O22Rik	ENSMUSG00000103341	TEC	635
1700052H01Rik	ENSMUSG00000105297	lncRNA	717
1700052I22Rik	ENSMUSG00000101912	lncRNA	379
1700052K11Rik	ENSMUSG00000099681	lncRNA	3702
1700054A03Rik	ENSMUSG00000099988	lncRNA	2513
1700054K02Rik	ENSMUSG00000097001	lncRNA	376
1700054K19Rik	ENSMUSG00000100219	lncRNA	452
1700054M17Rik	ENSMUSG00000085889	lncRNA	442
1700054O05Rik	ENSMUSG00000111753	lncRNA	555
1700054O19Rik	ENSMUSG00000104183	TEC	870
1700055C04Rik	ENSMUSG00000093616	lncRNA	355
1700055D18Rik	ENSMUSG00000070997	lncRNA	3718
1700056E22Rik	ENSMUSG00000044854	protein_coding	1272
1700056N10Rik	ENSMUSG00000084792	lncRNA	1043
1700057G04Rik	ENSMUSG00000074139	protein_coding	1052
1700057H15Rik	ENSMUSG00000084757	lncRNA	704
1700057H21Rik	ENSMUSG00000086007	lncRNA	506
1700058P15Rik	ENSMUSG00000089636	lncRNA	413
1700060C16Rik	ENSMUSG00000086887	lncRNA	645
1700060C20Rik	ENSMUSG00000078957	lncRNA	605
1700060J05Rik	ENSMUSG00000084970	lncRNA	1060
1700060O08Rik	ENSMUSG00000099407	lncRNA	281
1700061A03Rik	ENSMUSG00000117966	TEC	455
1700061E17Rik	ENSMUSG00000102060	lncRNA	1067
1700061E18Rik	ENSMUSG00000085759	lncRNA	588
1700061F12Rik	ENSMUSG00000085580	lncRNA	876
1700061H18Rik	ENSMUSG00000084948	lncRNA	634
1700061I17Rik	ENSMUSG00000028009	lncRNA	1962
1700061J23Rik	ENSMUSG00000086366	lncRNA	537
1700061N14Rik	ENSMUSG00000110464	lncRNA	463
1700062C10Rik	ENSMUSG00000114390	lncRNA	1585
1700063A18Rik	ENSMUSG00000100062	lncRNA	356
1700063D05Rik	ENSMUSG00000100837	lncRNA	1007
1700063H04Rik	ENSMUSG00000040657	lncRNA	817
1700063H06Rik	ENSMUSG00000099266	lncRNA	445
1700063I16Rik	ENSMUSG00000103463	TEC	611
1700063J08Rik	ENSMUSG00000117080	lncRNA	554
1700063K16Rik	ENSMUSG00000102036	transcribed_processed_pseudogene	952
1700063O14Rik	ENSMUSG00000101978	lncRNA	492
1700064H15Rik	ENSMUSG00000082766	protein_coding	394
1700064J06Rik	ENSMUSG00000100681	lncRNA	386
1700064M15Rik	ENSMUSG00000100211	lncRNA	645
1700065D16Rik	ENSMUSG00000096655	lncRNA	2903
1700065I16Rik	ENSMUSG00000099435	transcribed_unprocessed_pseudogene	813
1700065J11Rik	ENSMUSG00000107341	lncRNA	424
1700065J18Rik	ENSMUSG00000100872	lncRNA	387
1700065L07Rik	ENSMUSG00000107408	lncRNA	614
1700065O20Rik	ENSMUSG00000100134	lncRNA	710
1700066B17Rik	ENSMUSG00000101634	lncRNA	675
1700066B19Rik	ENSMUSG00000073598	protein_coding	2504
1700066C05Rik	ENSMUSG00000101810	lncRNA	407
1700066J03Rik	ENSMUSG00000097717	lncRNA	516
1700066M21Rik	ENSMUSG00000038323	protein_coding	3005
1700066N21Rik	ENSMUSG00000099605	lncRNA	783
1700066O22Rik	ENSMUSG00000085800	lncRNA	963
1700067G17Rik	ENSMUSG00000099378	lncRNA	603
1700067K01Rik	ENSMUSG00000046408	protein_coding	1291
1700067P10Rik	ENSMUSG00000021545	protein_coding	1105
